編號,公民營,廠商名稱_市招,行政區,經營主體,聯絡電話,分機,地址,經度,緯度
196,民營,FIT ZONE BY WORLD GYM 台北天母店,士林,香港商世界健身事業有限公司飛動天母分公司 ,(02)28715333,,臺北市士林區中山北路7段73號及75號,121.5312,25.1211
197,民營,芳鄰健身 Family Gym景美店,文山,芳鄰健身事業有限公司,(02)77032559,,臺北市文山區羅斯福路6段130號地下室,121.5405,24.9971
198,民營,IN GYM樂康健身俱樂部,文山,承新國際管理顧問股份有限公司文山分公司,(02)86632618,,臺北市文山區景隆街36巷2號2樓,121.5435,24.9986
199,民營,Curves景美店,文山,好享瘦國際有限公司,(02)29315118,,臺北市文山區景文街46-1號3樓,121.5412,24.9914
200,民營,Dream Fit拳適能訓練中心,文山,拳適能館,,,臺北市文山區景美街1-4號1樓及B1,121.5417,24.9942
201,民營,真適能運動俱樂部,文山,宇妍有限公司,(02)22345630,,臺北市文山區木柵路3段77號10樓,121.5672,24.9888
202,民營,Curves文山保儀店,文山,盛璿顧問有限公司,(02)29381515,,臺北市文山區保儀路11號4樓之1,121.5687,24.9885
203,民營,運動學 Fitology,文山,全球動競健康有限公司,(02)29315887,,臺北市文山區興隆路2段252號B1,121.5543,25.0007
204,民營,Curves石牌店,北投,喬菲立有限公司,(02)28200250,,臺北市北投區裕民六路120號5樓,121.5176,25.1145
205,民營,Curves北投店,北投,戴特有限公司,(02)28936585,,臺北市北投區磺港路8號4樓,121.5021,25.1333
206,民營,聚廠樂活運動館,北投,聚廠樂活運動館,(02)28963311,,臺北市北投區北投路2段13號B1-1,121.4986,25.1310
207,民營,慢走體適能工作室,北投,慢走體適能工作室,,,臺北市士林區中山北路6段284號1樓,121.5233,25.1138
208,民營,台北市健力訓練站,北投,巨力達有限公司,,,臺北市北投區大同街137號1樓,121.4986,25.1350
209,民營,拳能健身館Dynamic Fitness,中山,拳能健身館,,,臺北市中山區樂群三路77號2樓,121.5541,25.0828
210,民營,MARTIAL ARMOUR MMA＆FITNESS大直館,內湖,武甲運動事業有限公司大直分公司,(02)26277701,,臺北市內湖區內湖路1段49號B1,121.5596,25.0851
211,民營,正能量 FITNESS,內湖,普瑞特斯有限公司,(02)87972666,,臺北市內湖區內湖路1段322號2樓,121.5699,25.0816
212,民營,TrueFitness 全真概念內湖健身館,內湖,全真概念健康事業股份有限公司內湖分公司,(02)77461111,,臺北市內湖區內湖路1段659號B1,121.5753,25.0803
213,民營,強大肌力訓練中心,內湖,強大肌力訓練中心有限公司,(02)26275282,,臺北市內湖區內湖路1段579號,121.5728,25.0811
214,民營,Curves內湖西湖店,內湖,馳洋有限公司西湖分公司,(02)26276550,,臺北市內湖區內湖路1段387巷3弄4號,121.5707,25.0824
215,民營,練一下GYMCUBE,內湖,鑫辰體能股份有限公司,(02)27906068,,臺北市內湖區成功路3段145號地下樓,121.5900,25.0796
216,民營,Curves內湖成功店,內湖,馳洋有限公司,(02)27948659,,臺北市內湖區成功路4段34號2樓,121.5917,25.0818
217,民營,轉捩點健康工作室(H.F.P STUDIO),內湖,轉捩點健康工作室,,,臺北市內湖區內湖路2段395號2樓,121.5928,25.0841
218,民營,極限健身中心內湖店,內湖,極強股份有限公司內湖分公司,(02)27956808,,臺北市內湖區民善街88號,121.5754,25.0601
219,民營,World Gym健身俱樂部內湖福華店,內湖,香港商世界健身事業有限公司內湖民權分公司 ,(02)27905522,,臺北市內湖區民權東路6段180巷6號地下2樓及地下2樓之1,121.5926,25.0682
220,公營,臺北市網球中心附設健身房,內湖,匯陽百貨事業股份有限公司臺北市網球中心分公司,(02)27951166,,臺北市內湖區民權東路6段208號,121.5967,25.0676
221,民營,Curves東湖店,內湖,奕揚國際有限公司,(02)26310798,,臺北市內湖區東湖路33巷17號1樓,121.6132,25.0699
222,民營,World Gym健身俱樂部內湖店,內湖,香港商世界健身事業有限公司內湖分公司,(02)26345488,,臺北市內湖區康寧路3段72號5至9樓及11至12樓,121.6113,25.0702
223,民營,全民運動健身中心內湖店,內湖,龍品國際開發有限公司內湖第2門市,(02)26581155,,臺北市內湖區港墘路221巷33號2樓,121.5747,25.0739
224,民營,UFC GYM 內科模範館,內湖,冠競健康事業股份有限公司,(02)27996666,,臺北市內湖區洲子街55及57號,121.5733,25.0795
225,民營,NIFEI FITNESS,內湖,妮飛體適能事業股份有限公司,(02)26270896,,臺北市內湖區瑞湖街99號1樓,121.5762,25.0736
226,民營,JOY FIT24,內湖,台灣健康前沿股份有限公司內湖營業所,(02)26270032,,臺北市內湖區文德路100號1至2樓,121.5828,25.0783
227,民營,練一下GYMCUBE文德店,內湖,曌躍股份有限公司,(02)27996667,,臺北市內湖區文德路108號地下及108號地下之1,121.5832,25.0783
228,民營,Force Fitness運動空間,中正,元動健康事業股份有限公司,(02)23969996,,臺北市中正區南昌路1段123號2樓之2,121.5183,25.0299
229,民營,Pure Yoga 臺北普及瑜珈 (忠孝館),大安,英屬維京群島商台北普及瑜珈有限公司台北分公司,(02)81617888,,臺北市大安區忠孝東路四段151號,121.5498,25.0417
230,民營,ROYAL YOGA 柔昱瑜珈會館,大安,柔昱健康事業有限公司大安分公司,(02)27128722,,臺北市大安區羅斯福路2段91號地下1樓,121.5241,25.0252
231,民營,PRANA YOGA,松山,忻慈健康事業有限公司,(02)27152323,,臺北市松山區復興北路369號2樓,121.5448,25.0624
232,民營,Yours Yoga,士林,東紘企業有限公司,(02)28365656,,臺北市士林區中山北路5段687號2樓,121.5273,25.0972
233,民營,蔡若蓁氧身工坊,中山,蔡若蓁氧身工坊股份有限公司,(02)25052777,,臺北市中山區南京東路2段172號4樓,121.5347,25.0518
234,民營,戀依佳瑜珈工作室有限公司,中山,戀依佳瑜珈工作室有限公司,(02)25216365,,臺北市中山區民權西路70號8樓,121.5198,25.0627
235,民營,索莉雅太陽瑜珈有限公司,中山,索莉雅太陽瑜珈有限公司,(02)25215627,,臺北市中山區松江路192號6樓之1,121.5329,25.0570
236,民營,Friend花式撞球俱樂部,大安,朋友花式撞球俱樂部,(02)27065133,,臺北市大安區通化街47、49號地下1樓,121.5544,25.0319
237,民營,世運花式撞球場,大安,世運花式撞球場,(02)27097993,,臺北市大安區復興南路2段157號地下1樓,121.5437,25.0281
238,民營,丁丁撞球場,中山,丁丁撞球場,(02)25994756,,臺北市中山區雙城街2-1號地下1樓,121.5243,25.0632
239,民營,九樂商行,中山,九樂商行,(02)25316268,,臺北市中山區民生東路1段29號3樓之2,121.5251,25.0582
240,民營,球聖撞球館,中山,球聖撞球館,(02)25035800,,臺北市中山區長春路258巷6號地下1樓,121.5389,25.0542
241,民營,撞球家族撞球場,中正,撞球家族撞球場,(02)23684928,,臺北市中正區和平西路1段68號地下1樓,121.5192,25.0263
242,民營,A-ONE撞球運動場,中正,A-ONE撞球運動場,(02)23898833,,臺北市中正區忠孝西路1段45號地下1、2樓,121.5179,25.0463
243,民營,哈囉休閒撞球館,中正,哈囉休閒撞球館,(02)23921758,,臺北市中正區信義路2段101號地下1樓,121.5277,25.0342
244,民營,贏家撞球休閒運動館,內湖,贏家撞球休閒運動館,(02)27933838,,臺北市內湖區成功路3段83號地下1樓,121.5900,25.0783
245,民營,好手撞球運動館,內湖,好手撞球運動館,,,臺北市內湖區成功路4段68號地下2樓,121.5929,25.0827
246,民營,飛碟撞球運動館,文山,飛碟撞球運動館,(02)22665252,,臺北市文山區木柵路3段96號地下2樓,121.5673,24.9883
247,民營,景文撞球運動館,文山,景文撞球運動館,(02)29349636,,臺北市文山區景文街42號地下1樓,121.5412,24.9917
248,民營,全球撞球館,文山,全球撞球館,(02)29345895,,臺北市文山區羅斯福路5段88號地下1樓,121.5382,25.0075
249,民營,世界盃撞球運動館,北投,世界盃撞球運動館,(02)28952200,,臺北市北投區中和街34號地下1樓,121.5028,25.1381
250,民營,米家撞球用品社,北投,米家撞球用品社,(02)28276872,,臺北市北投區尊賢街226號地下1樓,121.5078,25.1160
251,民營,大聯盟商行,松山,大聯盟商行,(02)27482540,,臺北市松山區塔悠路81號3樓,121.5705,25.0520
252,民營,九球大師撞球概念館,松山,九球大師撞球概念館,(02)25795600,,臺北市松山區八德路3段83號B1,121.5532,25.0483
253,民營,有誼撞球運動館,信義,有誼撞球運動館,(02)87852797,,臺北市信義區忠孝東路5段669號地下1樓,121.5796,25.0421
254,民營,朝陽撞球運動館,萬華,朝陽撞球運動館,(02)23086978,,臺北市萬華區西園路2段188號地下1樓,121.4958,25.0295
255,民營,博仕撞球運動館,士林,博仕撞球運動館,(02)28855252,,臺北市士林區承德路4段52.54號地下1樓,121.5217,25.0795
256,民營,統帥遊樂場,大安,統帥遊樂場,(02)77845392,,臺北市大安區忠孝東路4段197號9樓之8之10,121.5516,25.0417
257,民營,巧克叔叔體育用品社,中山,巧克叔叔體育用品社,(02)25075977,,臺北市中山區龍江路329號B1,121.5410,25.0627
258,民營,中正遊樂場,中山,中正遊樂場,(02)25173233,,中山區松江路281號B1,121.5334,25.0602
259,民營,好客撞球場,萬華,好客撞球場,(02)23813456,,臺北市萬華區漢口街2段54號 B1,121.5059,25.0458
260,民營,全球撞球館,中正,全球撞球館,(02)29345895,,臺北市中正區羅斯福路5段88號B1,121.5348,25.0140
261,民營,岩究所攀岩館,大同,思福緹股份有限公司,(02)25508081,,臺北市大同區迪化街1段251號,121.5094,25.0607
262,民營,原岩攀岩館,萬華,原岩運動顧問有限公司,(02)23088250,,臺北市萬華區大理街149號,121.4969,25.0342
263,民營,市民抱石館,南港,拔山企業股份有限公司,(02)27886220,,臺北市南港區市民大道8段552號1樓,121.6139,25.0539
264,民營,國榮桌球信義館,信義,國榮桌球館,(02)27088488,,臺北市信義區光復南路432號2樓,121.5577,25.0358
265,民營,國榮桌球行天宮館,中山,日榮桌球館,(02)25189262,,臺北市中山區松江路283號3樓,121.5334,25.0602
266,民營,國榮桌球古亭館,中正,國榮桌球館,(02)23688818,,台北市中正區和平西路1段34號2樓,121.5204,25.0265
267,民營,穜欣桌球館,士林,穜欣桌球館,(02)28731818,,臺北市士林區天母西路13巷9號,121.5278,25.1192
268,民營,圓山育樂中心,士林,中國體育振興企業股份有限公司,(02)28812277,,臺北市士林區中山北路5段6號,121.5256,25.0824
269,民營,長興極限空間,大同,集武躍有限公司,(02)25529553,,臺北市大同區重慶北路2段162號1樓,121.5135,25.0589
270,民營,台北滑雪學校,內湖,台灣滑雪學苑有限公司,(02)87917365,,臺北市內湖區行愛路77巷67號,121.5832,25.0637
